datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2019 5:00:00 AM,1/1/2019 12:00:00 AM,SERC,SOUTH,DOM,DOM,9088.189,True
1/1/2019 6:00:00 AM,1/1/2019 1:00:00 AM,SERC,SOUTH,DOM,DOM,8684.294,True
1/1/2019 7:00:00 AM,1/1/2019 2:00:00 AM,SERC,SOUTH,DOM,DOM,8323.870,True
1/1/2019 8:00:00 AM,1/1/2019 3:00:00 AM,SERC,SOUTH,DOM,DOM,8164.973,True
1/1/2019 9:00:00 AM,1/1/2019 4:00:00 AM,SERC,SOUTH,DOM,DOM,8126.982,True
1/1/2019 10:00:00 AM,1/1/2019 5:00:00 AM,SERC,SOUTH,DOM,DOM,8273.913,True
1/1/2019 11:00:00 AM,1/1/2019 6:00:00 AM,SERC,SOUTH,DOM,DOM,8469.216,True
1/1/2019 12:00:00 PM,1/1/2019 7:00:00 AM,SERC,SOUTH,DOM,DOM,8619.650,True
1/1/2019 1:00:00 PM,1/1/2019 8:00:00 AM,SERC,SOUTH,DOM,DOM,8758.063,True
1/1/2019 2:00:00 PM,1/1/2019 9:00:00 AM,SERC,SOUTH,DOM,DOM,9161.130,True
1/1/2019 3:00:00 PM,1/1/2019 10:00:00 AM,SERC,SOUTH,DOM,DOM,9452.693,True
1/1/2019 4:00:00 PM,1/1/2019 11:00:00 AM,SERC,SOUTH,DOM,DOM,9583.262,True
1/1/2019 5:00:00 PM,1/1/2019 12:00:00 PM,SERC,SOUTH,DOM,DOM,9517.417,True
1/1/2019 6:00:00 PM,1/1/2019 1:00:00 PM,SERC,SOUTH,DOM,DOM,9568.256,True
1/1/2019 7:00:00 PM,1/1/2019 2:00:00 PM,SERC,SOUTH,DOM,DOM,9573.961,True
1/1/2019 8:00:00 PM,1/1/2019 3:00:00 PM,SERC,SOUTH,DOM,DOM,9662.869,True
1/1/2019 9:00:00 PM,1/1/2019 4:00:00 PM,SERC,SOUTH,DOM,DOM,10009.888,True
