datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2018 5:00:00 AM,1/1/2018 12:00:00 AM,SERC,SOUTH,DOM,DOM,16747.941,True
1/1/2018 6:00:00 AM,1/1/2018 1:00:00 AM,SERC,SOUTH,DOM,DOM,16806.026,True
1/1/2018 7:00:00 AM,1/1/2018 2:00:00 AM,SERC,SOUTH,DOM,DOM,16939.452,True
1/1/2018 8:00:00 AM,1/1/2018 3:00:00 AM,SERC,SOUTH,DOM,DOM,17158.701,True
1/1/2018 9:00:00 AM,1/1/2018 4:00:00 AM,SERC,SOUTH,DOM,DOM,17482.735,True
1/1/2018 10:00:00 AM,1/1/2018 5:00:00 AM,SERC,SOUTH,DOM,DOM,17916.559,True
1/1/2018 11:00:00 AM,1/1/2018 6:00:00 AM,SERC,SOUTH,DOM,DOM,18244.035,True
1/1/2018 12:00:00 PM,1/1/2018 7:00:00 AM,SERC,SOUTH,DOM,DOM,18475.872,True
1/1/2018 1:00:00 PM,1/1/2018 8:00:00 AM,SERC,SOUTH,DOM,DOM,18208.087,True
1/1/2018 2:00:00 PM,1/1/2018 9:00:00 AM,SERC,SOUTH,DOM,DOM,17426.237,True
1/1/2018 3:00:00 PM,1/1/2018 10:00:00 AM,SERC,SOUTH,DOM,DOM,16830.886,True
1/1/2018 4:00:00 PM,1/1/2018 11:00:00 AM,SERC,SOUTH,DOM,DOM,16343.860,True
1/1/2018 5:00:00 PM,1/1/2018 12:00:00 PM,SERC,SOUTH,DOM,DOM,16060.570,True
1/1/2018 6:00:00 PM,1/1/2018 1:00:00 PM,SERC,SOUTH,DOM,DOM,15700.327,True
1/1/2018 7:00:00 PM,1/1/2018 2:00:00 PM,SERC,SOUTH,DOM,DOM,15489.136,True
1/1/2018 8:00:00 PM,1/1/2018 3:00:00 PM,SERC,SOUTH,DOM,DOM,15657.922,True
1/1/2018 9:00:00 PM,1/1/2018 4:00:00 PM,SERC,SOUTH,DOM,DOM,16421.220,True
1/1/2018 10:00:00 PM,1/1/2018 5:00:00 PM,SERC,SOUTH,DOM,DOM,17800.924,True
1/1/2018 11:00:00 PM,1/1/2018 6:00:00 PM,SERC,SOUTH,DOM,DOM,18248.977,True
1/2/2018 12:00:00 AM,1/1/2018 7:00:00 PM,SERC,SOUTH,DOM,DOM,18418.013,True
1/2/2018 1:00:00 AM,1/1/2018 8:00:00 PM,SERC,SOUTH,DOM,DOM,18567.198,True
1/2/2018 2:00:00 AM,1/1/2018 9:00:00 PM,SERC,SOUTH,DOM,DOM,18306.663,True
1/2/2018 3:00:00 AM,1/1/2018 10:00:00 PM,SERC,SOUTH,DOM,DOM,17813.988,True
1/2/2018 4:00:00 AM,1/1/2018 11:00:00 PM,SERC,SOUTH,DOM,DOM,17428.349,True
1/2/2018 5:00:00 AM,1/2/2018 12:00:00 AM,SERC,SOUTH,DOM,DOM,17188.468,True
1/2/2018 6:00:00 AM,1/2/2018 1:00:00 AM,SERC,SOUTH,DOM,DOM,17260.539,True
1/2/2018 7:00:00 AM,1/2/2018 2:00:00 AM,SERC,SOUTH,DOM,DOM,17495.292,True
1/2/2018 8:00:00 AM,1/2/2018 3:00:00 AM,SERC,SOUTH,DOM,DOM,17809.026,True
1/2/2018 9:00:00 AM,1/2/2018 4:00:00 AM,SERC,SOUTH,DOM,DOM,18282.278,True
1/2/2018 10:00:00 AM,1/2/2018 5:00:00 AM,SERC,SOUTH,DOM,DOM,19142.605,True
1/2/2018 11:00:00 AM,1/2/2018 6:00:00 AM,SERC,SOUTH,DOM,DOM,20096.768,True
1/2/2018 12:00:00 PM,1/2/2018 7:00:00 AM,SERC,SOUTH,DOM,DOM,20634.146,True
1/2/2018 1:00:00 PM,1/2/2018 8:00:00 AM,SERC,SOUTH,DOM,DOM,20088.439,True
1/2/2018 2:00:00 PM,1/2/2018 9:00:00 AM,SERC,SOUTH,DOM,DOM,18967.085,True
1/2/2018 3:00:00 PM,1/2/2018 10:00:00 AM,SERC,SOUTH,DOM,DOM,17931.756,True
1/2/2018 4:00:00 PM,1/2/2018 11:00:00 AM,SERC,SOUTH,DOM,DOM,17028.077,True
1/2/2018 5:00:00 PM,1/2/2018 12:00:00 PM,SERC,SOUTH,DOM,DOM,16261.690,True
1/2/2018 6:00:00 PM,1/2/2018 1:00:00 PM,SERC,SOUTH,DOM,DOM,15659.023,True
1/2/2018 7:00:00 PM,1/2/2018 2:00:00 PM,SERC,SOUTH,DOM,DOM,15266.207,True
1/2/2018 8:00:00 PM,1/2/2018 3:00:00 PM,SERC,SOUTH,DOM,DOM,15323.001,True
1/2/2018 9:00:00 PM,1/2/2018 4:00:00 PM,SERC,SOUTH,DOM,DOM,16112.786,True
1/2/2018 10:00:00 PM,1/2/2018 5:00:00 PM,SERC,SOUTH,DOM,DOM,17621.889,True
1/2/2018 11:00:00 PM,1/2/2018 6:00:00 PM,SERC,SOUTH,DOM,DOM,18301.531,True
1/3/2018 12:00:00 AM,1/2/2018 7:00:00 PM,SERC,SOUTH,DOM,DOM,18508.315,True
1/3/2018 1:00:00 AM,1/2/2018 8:00:00 PM,SERC,SOUTH,DOM,DOM,18651.499,True
1/3/2018 2:00:00 AM,1/2/2018 9:00:00 PM,SERC,SOUTH,DOM,DOM,18418.739,True
1/3/2018 3:00:00 AM,1/2/2018 10:00:00 PM,SERC,SOUTH,DOM,DOM,17884.973,True
1/3/2018 4:00:00 AM,1/2/2018 11:00:00 PM,SERC,SOUTH,DOM,DOM,17498.949,True
1/3/2018 5:00:00 AM,1/3/2018 12:00:00 AM,SERC,SOUTH,DOM,DOM,17407.072,True
1/3/2018 6:00:00 AM,1/3/2018 1:00:00 AM,SERC,SOUTH,DOM,DOM,17518.542,True
1/3/2018 7:00:00 AM,1/3/2018 2:00:00 AM,SERC,SOUTH,DOM,DOM,17732.024,True
1/3/2018 8:00:00 AM,1/3/2018 3:00:00 AM,SERC,SOUTH,DOM,DOM,18126.701,True
1/3/2018 9:00:00 AM,1/3/2018 4:00:00 AM,SERC,SOUTH,DOM,DOM,18686.366,True
1/3/2018 10:00:00 AM,1/3/2018 5:00:00 AM,SERC,SOUTH,DOM,DOM,19563.302,True
1/3/2018 11:00:00 AM,1/3/2018 6:00:00 AM,SERC,SOUTH,DOM,DOM,20610.015,True
1/3/2018 12:00:00 PM,1/3/2018 7:00:00 AM,SERC,SOUTH,DOM,DOM,20891.988,True
1/3/2018 1:00:00 PM,1/3/2018 8:00:00 AM,SERC,SOUTH,DOM,DOM,20252.049,True
1/3/2018 2:00:00 PM,1/3/2018 9:00:00 AM,SERC,SOUTH,DOM,DOM,18805.097,True
1/3/2018 3:00:00 PM,1/3/2018 10:00:00 AM,SERC,SOUTH,DOM,DOM,17268.947,True
1/3/2018 4:00:00 PM,1/3/2018 11:00:00 AM,SERC,SOUTH,DOM,DOM,16327.627,True
1/3/2018 5:00:00 PM,1/3/2018 12:00:00 PM,SERC,SOUTH,DOM,DOM,15587.808,True
1/3/2018 6:00:00 PM,1/3/2018 1:00:00 PM,SERC,SOUTH,DOM,DOM,15111.577,True
1/3/2018 7:00:00 PM,1/3/2018 2:00:00 PM,SERC,SOUTH,DOM,DOM,14871.470,True
1/3/2018 8:00:00 PM,1/3/2018 3:00:00 PM,SERC,SOUTH,DOM,DOM,15217.416,True
1/3/2018 9:00:00 PM,1/3/2018 4:00:00 PM,SERC,SOUTH,DOM,DOM,15724.522,True
1/3/2018 10:00:00 PM,1/3/2018 5:00:00 PM,SERC,SOUTH,DOM,DOM,16595.811,True
1/3/2018 11:00:00 PM,1/3/2018 6:00:00 PM,SERC,SOUTH,DOM,DOM,16624.224,True
